clanky.html [en]	Kniha návštěv
kniha-navstev.html [en]	Našli jste tu něco užitečného? Máte doplnění, opravu nebo vlastní nález? Napište mi — vzkazy si přečtou i ostatní sběratelé.
kniha-navstev.html [en]	Na konkrétní dotazy ke sbírce nebo k výměně raději pište přímo na <a href="mailto:pepa.matousek@gmail.com">pepa.matousek@gmail.com</a>. Odkazy ve vzkazech nejsou povolené — je to nejúčinnější obrana proti spamu.
kniha-navstev.html [en]	Napsat vzkaz
kniha-navstev.html [en]	Vzkazy
kniha-navstev.html [en]	Kniha návštěv — Sbírám Hradčany
kniha-navstev.html [en]	Kniha návštěv webu Sbírám Hradčany — vzkazy sběratelů k emisi Hradčany.
tiskove-desky.html [en]	Anketa: která deska je Vám nejmilejší?
tiskove-desky.html [en]	Zajímá mě, ke které tiskové desce Hradčan táhne sběratele nejvíc — jestli k raným deskám první kresby, nebo k některé z desek 15h. Vyberte jednu a hlasujte; výsledky uvidíte hned potom.
tiskove-desky.html [en]	Hlasovat
tiskove-desky.html [en]	Zobrazit výsledky
